,module_color,kME_in_own_module,kWithin
Gene.405,blue,0.7972167499998603,149.1508382605303
Gene.406,turquoise,0.9383282878096626,183.55309285080696
Gene.407,turquoise,0.9371933230666155,162.76788804594725
Gene.408,turquoise,0.8771032956926903,151.53874953197584
Gene.409,turquoise,0.856483335817114,146.0532832898562
Gene.410,yellow,0.45939517771315125,96.34721997993155
Gene.411,yellow,0.7986554310503128,129.70010929929617
Gene.412,turquoise,0.5306534732244551,144.1336521884109
Gene.413,brown,0.6997438610089833,167.36398239745654
Gene.414,brown,0.8777260194185209,166.6009860921057
Gene.415,blue,0.9161854767516123,169.09340103745393
Gene.416,blue,0.7265419999615429,154.45355149025906
Gene.417,blue,0.9066108502737177,153.9528747124101
Gene.418,turquoise,0.36277466952440257,126.07830784064988
Gene.419,blue,0.7753789759531128,157.61553555594958
Gene.420,blue,0.8867227155704737,162.34226584554236
Gene.421,brown,0.7694496236850421,163.92694695787435
Gene.422,yellow,0.5808901950818424,126.0831699577092
Gene.423,blue,0.8035747505870076,150.2985675530423
Gene.424,blue,0.7782723787349041,147.6757649015951
Gene.425,turquoise,0.9504874543397377,143.8214931473117
Gene.426,blue,0.9717027460270492,140.56492538484926
Gene.427,blue,0.8026324714273214,144.4845657319031
Gene.428,blue,0.9501723527618201,176.35623715574758
Gene.429,blue,0.9092505436918857,162.09096558599282
Gene.430,yellow,0.9098424264908733,155.59388151191666
Gene.431,brown,0.6935347131826766,142.74725874617175
Gene.432,brown,0.896103203291343,162.1998864707099
Gene.433,turquoise,0.8825422689753964,180.76144687303253
Gene.434,turquoise,0.94632654684734,166.05851415469414
Gene.435,turquoise,0.9146416368207041,169.24168427691188
Gene.436,turquoise,0.9024733581221072,179.0209684881899
Gene.437,turquoise,0.8732393722730024,179.35908555019432
Gene.438,yellow,0.6701030076024603,123.5056705145224
Gene.439,yellow,0.8703692085466952,151.46702739101997
Gene.440,blue,0.9408016689600123,172.427050896435
Gene.441,turquoise,0.36204969991251545,105.80274368083246
Gene.442,black,0.6490972826018631,8.320303512665406
Gene.443,turquoise,0.9348553057295993,175.21884267012965
Gene.444,turquoise,0.9542740453919962,165.70029854542645
Gene.445,blue,0.9316246712926826,107.27477936138274
Gene.446,blue,0.9698679834314625,175.45113163126732
Gene.447,blue,0.8851267622057777,168.1848578224567
Gene.448,red,0.8551762814566968,19.09782276113494
Gene.449,blue,0.9563165810154727,125.07377144329013
Gene.450,yellow,0.8757675091090049,153.83342668884953
Gene.451,yellow,0.8090280393330462,150.31350190186635
Gene.452,turquoise,0.6995882041388746,151.12786082680765
Gene.453,yellow,0.8786055311526733,139.40873325763735
Gene.454,yellow,0.49777382945612836,100.98354667412822
Gene.455,black,0.705112472566351,8.718350944617194
Gene.456,brown,0.9378800700229029,91.15220395796739
Gene.457,yellow,0.8280690370176301,112.49040908987541
Gene.458,blue,0.6290096412028358,131.6513861980772
Gene.459,brown,0.957866908518456,175.438303259062
Gene.460,brown,0.9553248217275172,180.08095423941546
Gene.461,turquoise,0.9166077844658218,165.6671465070207
Gene.462,turquoise,0.4772273879526388,142.94877033287844
Gene.463,brown,0.9477987100324595,183.27619035210532
Gene.464,blue,0.8518994135671907,155.7093611098481
Gene.465,brown,0.8807812900931179,153.5441452255674
Gene.466,brown,0.916007646522317,173.45418152805402
Gene.467,turquoise,0.6785141677341021,162.127788787596
Gene.468,yellow,0.6934325985527796,123.88460022593162
Gene.469,brown,0.9720042755587317,162.78375552466701
Gene.470,yellow,0.7893557413606734,140.24012605698883
Gene.471,blue,0.8298102021824814,161.3180022476257
Gene.472,brown,0.9412373480926002,173.63376116219843
Gene.473,brown,0.5762688823981845,144.7414054737452
Gene.474,yellow,0.8871216176783154,133.22256489611058
Gene.475,turquoise,0.7915478741518361,145.82313741431926
Gene.476,turquoise,0.7162976122200023,138.24800257472324
Gene.477,turquoise,0.8420958770953306,161.3002560109131
Gene.478,red,0.7401859996069687,16.503387776358963
Gene.479,yellow,0.9572854685547806,144.38060044649106
Gene.480,turquoise,0.5289919806132631,146.3684087861401
Gene.481,yellow,0.8977349487601627,152.45414743207934
Gene.482,yellow,0.7654201317368262,138.44016575366322
Gene.483,brown,0.9678976635540787,171.25613699557078
Gene.484,turquoise,0.6204830214492303,130.73443654404858
Gene.485,turquoise,0.7204834328662274,163.0127340793237
Gene.486,yellow,0.921262740847852,156.6288544918083
Gene.487,turquoise,0.9478332551238188,136.3577602643178
Gene.488,red,0.8553552614964591,18.681162665862566
Gene.489,blue,0.8882517440689969,86.04293982376775
Gene.490,blue,0.7692572927746989,150.36243945472938
Gene.491,brown,0.9540889065201809,170.65643600686838
Gene.492,brown,0.1619965858848873,86.58107859890993
Gene.493,turquoise,0.9039099685527408,126.41952293968482
Gene.494,yellow,0.8464840231736386,133.08084504429317
Gene.495,turquoise,0.4628674087895183,142.95372710764835
Gene.496,turquoise,0.8700253018683092,162.48952846470857
